name,address,locality,phone
Little Owl,101 W State St,"Geneva, IL 60134",(779) 234-0861
Angelo's Pizzeria,608 12th Avenue,"Rock Falls, IL 61071",(815) 564-2315
Jocko's,305 W Williams St,"Danville, IL 61832",(217) 443-6500
Villa Di Roma,1620 Harrison Ave,"Rockford, IL 61104",(815) 977-8258
Kohl's Corner Laundromat & Cyber Cafe,1550 N Rand Rd,"Palatine, IL 60074",(847) 776-0662
Tower Of Pizza,2701 Broadway St,"Quincy, IL 62301",(217) 656-7090
Buffalo Wild Wings,461 S Randall Rd,"Algonquin, IL 60102",(847) 645-0333
Italian Fiesta Pizzeria,2021 Calistoga Drive,"New Lenox, IL 60451",(708) 722-0699
Paterno's Pizza,5303 N Milwaukee Ave,"Chicago, IL 60630",(872) 240-8829
Murphy's Health Foods & Juice Bar Inc,400 N Milwaukee Ave,"Libertyville, IL 60048",(847) 362-4664
Italian Fiesta Pizzeria,15425 Cottage Grove Ave,"Dolton, IL 60419",(224) 702-0167
Gale Street Inn,935 Diamond Lake Rd,"Mundelein, IL 60060",(872) 256-3968
Q's Restaurant & Pizzeria,4841 Butterfield Rd,"Hillside, IL 60162",(630) 225-8672
Dino's Pizzeria,7004 W Higgins Ave,"Chicago, IL 60656",(872) 333-9972
Golden Wok Chinese Restaurant,1180 Roosevelt Rd,"Glen Ellyn, IL 60137",(224) 765-4683
Aurelio's Pizza of South Holland,601 E 170th St,"South Holland, IL 60473",(708) 487-4512
House Of Kobe - Schererville,,,(219) 230-3978
Italian Fiesta Pizzeria,1919 E 71st St,"Chicago, IL 60649",(773) 756-5779
Italian Fiesta Pizzeria,1306 E 47th st,"Chicago, IL 60653",(773) 819-2002
Golden Wok Chinese Restaurant,1122 N Maple Ave,"La Grange Park, IL 60526",(708) 354-3930
Arrenello's Pizza,325 E Glenwood Lansing Rd,"Glenwood, IL 60425",(708) 758-6160
Reuland Food Service,115 Oak Ave,"Aurora, IL 60506",(630) 859-2877
Hoj Santa,722 lake st,"Oak Park, IL 60301",(708) 665-3848
Lee's Famous Recipe Chicken,501 N Gilbert St,"Danville, IL 61832",(217) 443-4760
Paparazzi,4315 North Voss Street,"Peoria Heights, IL 61616",(866) 517-9846
The Confectionery  Inc.,131 S Plum Ave,"Morton, IL 61550",(309) 866-6103
Orland Park Bakery Inc,14850 S Lagrange,"Orland Park, IL 60462",(708) 349-8516
Family House Restaurant Inc,312 S Kennedy Dr,"Bradley, IL 60915",(815) 839-2414
Cellar,"137 S State St, Ste 111","Geneseo, IL 61254",(833) 763-3095
Lagomarcino's Confectionery,1422 5th Ave,"Moline, IL 61265",(309) 764-1814
Windy City Pizza Works,1025 Sibley Boulevard,"Calumet City, IL 60409",(833) 727-1671
Roma's Pizza,121 E Bethalto Dr,"Bethalto, IL 62010",(618) 216-5389
Possum Trot,2918 Batestwn Rd,"Oakwood, IL 61858",(217) 703-7108
Avanti's Italian Restaurant,3302 E Empire St,"Bloomington, IL 61704",(309) 590-3779
Asia Grill,5832 N Knoxville Ave,"Peoria, IL 61614",(309) 424-4714
Nina's Mexican Market,845 1st Street,"La Salle, IL 61301",(815) 410-4579
KanSai Japanese Steakhouse,1600 Il-50 #654,"Bourbonnais, IL 60914",(815) 933-9897
Rainbow Garden,1402 S Neil St,"Champaign, IL 61820",(217) 689-6181
L & G Family Restaurant,10401 S Torrence Av,"Chicago, IL 60617",(773) 466-6130
Manzellas Italian Restaurant,115 S 1st St,"Champaign, IL 61820",(217) 850-1062
Steamboat BBQ,322 East Geneva Road,"Wheaton, IL 60187",(224) 452-5387
Sukey's China Restaurant,730 E Edwardsville Rd,"Wood River, IL 62095",(618) 251-4052
Volare-Chicago,201 E Grand Ave,"Chicago, IL 60611",(312) 945-7011
Filippo's Pizza & Italian Food,200 S Market St,"Monticello, IL 61856",(217) 762-2921
The Abbey,1736 Spring St,"Quincy, IL 62301",(217) 919-0284
The Country Table,187 S Indiana Ave,"Kankakee, IL 60901",(815) 933-2440
Ruby's Pancake House Minooka,506 W Mondamin St.,"Minooka, IL 60447",(815) 671-4561
Gabatoni's Restaurant,300 E Laurel St,"Springfield, IL 62703",(217) 522-0371
Monical's Pizza of Olney,509 N West St,"Olney, IL 62450",(618) 395-3359
Angelo's II,2525 E Lincoln Way,"Sterling, IL 61081",(815) 564-2113
New York Bagel & Bialy Corporation,4714 W Touhy Ave,"Lincolnwood, IL 60712",(847) 629-4612
Geno's 140 Club,120 W Bethalto Blvd,"Bethalto, IL 62010",(618) 372-6284
Garner's Pizza & Wings,124 Detroit Ave,"Morton, IL 61550",(309) 409-0922
New York Bagel & Bialy Corporation,3556 1/2 Dempster St,"Skokie, IL 60076",(847) 673-9388
Dempster Ny Bagel,3556 Dempster Street,"Skokie, IL 60076",(847) 757-6188
Brehon Pub,731 N Wells St,"Chicago, IL 60654",(224) 228-6520
Gem City Pizzeria,1801 State St,"Quincy, IL 62301",(217) 228-0550
Larry's Driftwood Pizza,661 S Main St,"Creve Coeur, IL 61610",(309) 694-0465
Roberto's,483 S Spring Rd,"Elmhurst, IL 60126",(630) 279-8474
Italian Fiesta Pizzeria,8058 S Halsted St,"Chicago, IL 60620",(773) 570-3009
Michael Anthony's Restaurant & Bar,6434 Ogden Ave,"Berwyn, IL 60402",(630) 332-3390
Ledo's Pizza,5525 S La Grange Rd,"Countryside, IL 60525",(708) 813-9215
Reuland Food Service,115 Oak Ave,"Aurora, IL 60506",(630) 703-0020
Incredibly Delicious,925 S 7th St,"Springfield, IL 62703",(217) 528-8548
Oak Park Bakery,904 S Oak Park Ave,"Oak Park, IL 60304",(708) 383-1712
Yummy Chen's,531 W Jackson St,"Macomb, IL 61455",(309) 731-4731
The Bagel Restaurant & Deli,3107 N Broadway St,"Chicago, IL 60657",(773) 477-0300
Kui Korean BBQ,,,(219) 237-4994
Angelo's Delivery,1804 Locust St,"Sterling, IL 61081",(815) 625-5000
