name,address,locality,phone
Buxton Inn The,313 W Broadway,"Granville, OH 43023",(740) 587-0001
Margherita's Grille,728 N State St,"Girard, OH 44420",(330) 545-2424
Zepp's Pizza,1108 S Main St,"North Canton, OH 44720",(330) 616-3323
House of Japan,8701 Sancus Blvd,"Columbus, OH 43240",(614) 681-3242
Emma's Frosty Kreme & Pizza,5707 Beaver Pike,"Beaver, OH 45613",(740) 443-4087
Lee's Famous Recipe Chicken,3638 Round Bottom Rd,"Cincinnati, OH 45244",(513) 272-4100
Joe's Pizzeria,4313 Airway Rd,"Dayton, OH 45431",(937) 253-8154
Bella's Italian Grille,1081 W Bank Rd,"Celina, OH 45822",(567) 510-4443
Cornersburg Italian Specialties,3381 Canfield Rd,"Youngstown, OH 44511",(330) 799-8650
Plank's  Cafe & Pizzeria Delivery on Parsons,743 Parsons Ave,"Columbus, OH 43206",(614) 754-6835
Downtown Bakery,151 S 4th St,"Steubenville, OH 43952",(740) 282-7397
Morettis,5849 Sawmill Rd,"Dublin, OH 43017",(614) 763-6653
Angilo's Norwood Pizza,2649 Robertson Ave,"Cincinnati, OH 45212",(513) 631-4300
Creative Living Coffee,4080 Creative Living Way,"Medina, OH 44256",(330) 591-4434
Sunrise Inn,510 E Market Street,"Warren, OH 44481",(234) 430-0358
Sawa Steak House,7401 Market St,"Youngstown, OH 44512",(330) 726-1888
Tony's,1702 E Main St,"Ottawa, OH 45875",(419) 890-4353
Kentucky Fried Chicken,38 N Cedar St,"Newark, OH 43055",(740) 719-2073
Ballville E-Z Shop Food & Beverage,1512 River St,"Fremont, OH 43420",(419) 332-7167
Dayton Fish Inc,3939 N Main St,"Dayton, OH 45405",(937) 276-3474
Center Pizza,23 Fayette Ctr,"Washington Court House, OH 43160",(740) 335-3944
Al-Mar Lanes,1010 North Main Street,"Bowling Green, OH 43402",(419) 419-3966
Giovanni's Pizza Otway,7056 State Route 73,"Otway, OH 45657",(740) 372-7700
DeFelice Bros Pizza,3788 Central Ave,"Shadyside, OH 43947",(740) 298-7154
Raymond House Fine Dining & Camping,20215 State Route 347,"Raymond, OH 43067",(937) 707-6188
Eaglesticks Golf Club,2655 Maysville Pike,"Zanesville, OH 43701",(740) 586-0854
Sunrise Cafe,259 Xenia Ave,"Yellow Springs, OH 45387",(326) 900-2032
Disalvo Deli & Italian Store,1383 E. Stroop Rd.,"Dayton, OH 45429",(937) 791-6597
The Brunch Pub,101 West Franklin Street,"Dayton, OH 45459",(326) 212-4685
Bay Food Market,301 S Maple St,"Lancaster, OH 43130",(740) 653-9606
Ding Ho Restaurant,120 Phillipi Road,"Columbus, OH 43228",(833) 254-5469
Baker's Pizza Sports Shack,224 N Sandusky Ave,"Bucyrus, OH 44820",(419) 834-9924
