iter	RMSE
0	39.03974482
1	39.03929468
2	39.03891298
3	39.03855693
4	39.03812283
5	39.03775814
6	39.03745867
7	39.03700317
8	39.03661839
9	39.03623751
10	39.03584101
11	39.03548723
12	39.03509291
13	39.03475818
14	39.03441675
15	39.03405988
16	39.0337345
17	39.03338027
18	39.03306386
19	39.03270308
20	39.0324379
21	39.03209003
22	39.03178186
23	39.03147173
24	39.03116111
25	39.03086539
26	39.03048333
27	39.0301991
28	39.02985001
29	39.02959207
30	39.02928785
31	39.02894133
32	39.02865432
33	39.02835285
34	39.02806519
35	39.02779401
36	39.02753456
37	39.02726521
38	39.02703466
39	39.02678904
40	39.02649426
41	39.02620522
42	39.02589135
43	39.02561975
44	39.02532322
45	39.02504415
46	39.0248189
47	39.02460476
48	39.02434269
49	39.02407878
50	39.02378371
51	39.02355392
52	39.02326211
53	39.02300994
54	39.02274013
55	39.02247021
56	39.02226326
57	39.02200161
58	39.02179313
59	39.0215688
60	39.02132378
61	39.021149
62	39.02099496
63	39.02083397
64	39.02063689
65	39.02041995
66	39.02018076
67	39.01996823
68	39.01982992
69	39.01965408
70	39.01942219
71	39.01920784
72	39.01899554
73	39.01880218
74	39.01856813
75	39.01835159
76	39.01815418
77	39.01796098
78	39.01778744
79	39.01753972
80	39.01736884
81	39.01720396
82	39.01698563
83	39.01678777
84	39.01657304
85	39.01638555
86	39.01619916
87	39.0160191
88	39.01582197
89	39.0156837
90	39.01552588
91	39.01534199
92	39.01517947
93	39.01502125
94	39.01484959
95	39.01467331
96	39.01447252
97	39.01428596
98	39.01412019
99	39.01395138
100	39.01377889
101	39.01361198
102	39.01342896
103	39.01328724
104	39.01322795
105	39.01307111
106	39.01288074
107	39.01272817
108	39.01258967
109	39.01243207
110	39.01231352
111	39.01214589
112	39.01196749
113	39.01176811
114	39.01162605
115	39.01149703
116	39.0113622
117	39.01120705
118	39.01100688
119	39.01085884
120	39.01067125
121	39.01053912
122	39.01040844
123	39.01021476
124	39.01004182
125	39.00990073
126	39.00975973
127	39.00963244
128	39.00947368
129	39.00929538
130	39.0091109
131	39.00898699
132	39.0088411
133	39.00868912
134	39.00851721
135	39.00837548
136	39.00825202
137	39.00813645
138	39.00797821
139	39.00785976
140	39.00773589
141	39.00761024
142	39.00745926
143	39.00728789
144	39.00715155
145	39.00695849
146	39.00680378
147	39.00669667
148	39.00655041
149	39.00635904
150	39.00621526
151	39.00605784
152	39.00592954
153	39.00577522
154	39.00564406
155	39.00551333
156	39.00541587
157	39.00528844
158	39.00518194
159	39.00506814
160	39.00494514
161	39.00477358
162	39.00464907
163	39.00452328
164	39.00436338
165	39.00423996
166	39.00408538
167	39.00391372
168	39.00385076
169	39.00373759
170	39.00356475
171	39.00340804
172	39.00326971
173	39.00315541
174	39.0029886
175	39.00289323
176	39.00276616
177	39.00263536
178	39.00247063
179	39.00235326
180	39.00223585
181	39.00212239
182	39.00200325
183	39.00187302
184	39.00173815
185	39.00157668
186	39.00145072
187	39.00130681
188	39.00120827
189	39.00105407
190	39.00093956
191	39.00080457
192	39.00070019
193	39.00059901
194	39.0004784
195	39.00036432
196	39.00020344
197	39.00009417
198	38.99997003
199	38.99983764
200	38.99966522
201	38.99955945
202	38.99946358
203	38.99935525
204	38.99923486
205	38.99910153
206	38.99895236
207	38.9988061
208	38.99867039
209	38.99857692
210	38.99847741
211	38.99838947
212	38.99828206
213	38.99813926
214	38.99804501
215	38.9979199
216	38.9978397
217	38.99772262
218	38.99757562
219	38.99745267
220	38.99733888
221	38.99722395
222	38.99708764
223	38.99696035
224	38.9968599
225	38.99673372
226	38.9966269
227	38.99654963
228	38.99641934
229	38.99627983
230	38.99618615
231	38.99607338
232	38.99595767
233	38.99585479
234	38.99571918
235	38.99564025
236	38.9955495
237	38.99542174
238	38.99533285
239	38.99521262
240	38.99510567
241	38.99495639
242	38.99481469
243	38.99470024
244	38.99458118
245	38.99441687
246	38.99430166
247	38.99414613
248	38.99399677
249	38.9938935
250	38.99379319
251	38.99368812
252	38.99359308
