iter	Passed	Remaining
0	12	6082
1	22	5539
2	31	5275
3	41	5171
4	51	5127
5	61	5096
6	73	5142
7	82	5093
8	93	5083
9	103	5067
10	113	5029
11	124	5047
12	134	5045
13	143	4994
14	154	4986
15	163	4950
16	174	4949
17	184	4928
18	193	4901
19	203	4884
20	212	4843
21	222	4836
22	232	4829
23	243	4829
24	253	4817
25	263	4805
26	273	4799
27	284	4787
28	293	4773
29	304	4772
30	314	4763
31	325	4763
32	336	4763
33	347	4760
34	358	4765
35	369	4759
36	380	4755
37	391	4761
38	403	4764
39	414	4766
40	425	4763
41	437	4767
42	448	4761
43	459	4758
44	470	4754
45	481	4752
46	492	4744
47	504	4747
48	515	4748
49	527	4745
50	538	4742
51	549	4734
52	560	4731
53	572	4726
54	584	4729
55	596	4733
56	609	4738
57	622	4743
58	634	4741
59	644	4729
60	656	4724
61	667	4713
62	678	4706
63	690	4700
64	701	4694
65	712	4685
66	723	4677
67	735	4672
68	748	4673
69	760	4669
70	771	4662
71	782	4651
72	793	4643
73	805	4638
74	817	4632
75	829	4626
76	840	4618
77	851	4608
78	862	4598
79	874	4592
80	886	4584
81	897	4575
82	908	4565
83	920	4556
84	931	4548
85	943	4541
86	954	4529
87	965	4520
88	977	4511
89	988	4501
90	999	4493
91	1010	4482
92	1022	4473
93	1034	4466
94	1045	4457
95	1057	4448
96	1068	4437
97	1079	4428
98	1091	4420
99	1102	4409
100	1113	4399
101	1125	4392
102	1136	4381
103	1147	4370
104	1157	4353
105	1168	4344
106	1180	4336
107	1192	4328
108	1204	4320
109	1216	4312
110	1227	4303
111	1239	4294
112	1251	4285
113	1262	4274
114	1273	4264
115	1285	4254
116	1297	4247
117	1308	4237
118	1320	4227
119	1332	4218
120	1343	4208
121	1354	4197
122	1366	4187
123	1377	4178
124	1388	4166
125	1400	4156
126	1411	4146
127	1423	4136
128	1434	4125
129	1445	4115
130	1458	4107
131	1469	4096
132	1481	4088
133	1493	4078
134	1504	4068
135	1516	4058
136	1528	4049
137	1539	4037
138	1550	4027
139	1562	4016
140	1574	4007
141	1586	4000
142	1599	3992
143	1611	3982
144	1622	3971
145	1634	3961
146	1645	3951
147	1657	3941
148	1667	3928
149	1679	3917
150	1690	3907
151	1702	3896
152	1712	3884
153	1724	3874
154	1736	3864
155	1747	3854
156	1759	3844
157	1771	3834
158	1783	3824
159	1795	3815
160	1807	3804
161	1818	3794
162	1830	3784
163	1842	3774
164	1853	3763
165	1865	3754
166	1877	3743
167	1889	3733
168	1899	3720
169	1911	3709
170	1921	3697
