name,address,locality,phone
La Nacional Mexican Buffet & Restaurant,4403 17th Ave,"Columbus, GA 31904",(706) 221-9911
The Border Mexican Restaurant,2569 Cobb Pkwy SE,"Smyrna, GA 30080",(678) 453-8307
Pizza Di Folco,5751 Little Mill Rd,"Buford, GA 30518",(770) 614-0441
J & D Designs & Cafe,254 Peterson Ave S,"Douglas, GA 31533",(912) 384-8948
Antigua Mexican Restaurant,,"Rome, GA 30161",(706) 528-4542
Wallace Barbecue Restaurant,3035 Veterans Memorial Hwy SW,"Austell, GA 30168",(770) 739-1686
Royal Palace,4188 Highway 278 NW,"Covington, GA 30014",(678) 729-7728
Big Jim's Restaurant at Spring Creek Park Resort,7863 Reynolds Landing Rd,"Donalsonville, GA 39845",(229) 515-8673
Shogun Japanese Steakhouse Bar & Grill,900 Northwoods Plz,"Macon, GA 31204",(478) 743-3100
Baker's Pride,840 E De Renne Ave,"Savannah, GA 31405",(912) 352-1663
Provino's Italian Restaurant,,,(423) 443-4927
Greater Atlanta Women's Healthcare,550 Peachtree St NE,"Atlanta, GA 30308",(404) 589-2670
Brian Edward's Tea Tavern and Shoppe,,,(850) 422-0101
La Cabana Mexican Restaurant,128 Duvall St Ste C,"Clayton, GA 30525",(706) 212-2834
Pick O' Deli @ Riverside,595 Riverside Pkwy NE,"Rome, GA 30161",(706) 622-8996
Chicago Pizza & Pasta,401 Virginia Ave N,"Tifton, GA 31794",(229) 391-1065
Fish House IV,1243 Watson Blvd,"Warner Robins, GA 31093",(478) 339-7820
Elizabeth on thirty seventh,105 E 37th St,"Savannah, GA 31401",(912) 401-0597
Southeastern Surveying Inc,601 N Saint Augustine Rd,"Valdosta, GA 31601",(229) 259-9455
French Market Grill West,368 Furys Ferry Rd,"Augusta, GA 30907",(706) 524-0546
El Pollo Dorado,10370 Alpharetta St,"Roswell, GA 30075",(470) 394-6794
Peking Restaurant,2725 Atlanta Hwy,"Athens, GA 30606",(706) 208-4721
B & F Drive In Restaurant,312 W Parker St,"Baxley, GA 31513",(912) 367-4766
Provino's Italian Restaurant,288 Shorter Ave NW,"Rome, GA 30165",(706) 378-9009
Bigg Daddys Restaurant & Tavern,807 Edelweiss Strasse,"Helen, GA 30545",(706) 878-2739
Daruma Japanese Steakhouse,9300 The Landing Dr,"Douglasville, GA 30135",(770) 489-1285
Lamar Stephens Custom Interiors,326 New St,"Buford, GA 30518",(770) 945-4395
Pasquale's Pizza & Pasta,4011 Martha Berry Hwy NW,"Rome, GA 30165",(706) 235-6063
John P Spann Inc,1528 S Lee St,"Americus, GA 31709",(229) 924-0050
Stone Mountain Pizza Cafe,5370 Stone Mountain Hwy Ste 1030,"Stone Mountain, GA 30087",(770) 413-6717
El Pollo Dorado,6822 Hwy 92,"Acworth, GA 30102",(678) 585-2573
