name,address,locality,phone,dup check
Buxton Inn The,313 W Broadway,"Granville, OH 43023",(740) 587-0001,1
Margherita's Grille,728 N State St,"Girard, OH 44420",(330) 545-2424,1
Zepp's Pizza,1108 S Main St,"North Canton, OH 44720",(330) 616-3323,2
House of Japan,8701 Sancus Blvd,"Columbus, OH 43240",(614) 681-3242,1
Emma's Frosty Kreme & Pizza,5707 Beaver Pike,"Beaver, OH 45613",(740) 443-4087,1
Lee's Famous Recipe Chicken,3638 Round Bottom Rd,"Cincinnati, OH 45244",(513) 272-4100,1
Joe's Pizzeria,4313 Airway Rd,"Dayton, OH 45431",(937) 253-8154,1
Bella's Italian Grille,1081 W Bank Rd,"Celina, OH 45822",(567) 510-4443,1
Cornersburg Italian Specialties,3381 Canfield Rd,"Youngstown, OH 44511",(330) 799-8650,1
Plank's  Cafe & Pizzeria Delivery on Parsons,743 Parsons Ave,"Columbus, OH 43206",(614) 754-6835,1
Downtown Bakery,151 S 4th St,"Steubenville, OH 43952",(740) 282-7397,1
Morettis,5849 Sawmill Rd,"Dublin, OH 43017",(614) 763-6653,1
Angilo's Norwood Pizza,2649 Robertson Ave,"Cincinnati, OH 45212",(513) 631-4300,1
Creative Living Coffee,4080 Creative Living Way,"Medina, OH 44256",(330) 591-4434,1
Sunrise Inn,510 E Market Street,"Warren, OH 44481",(234) 430-0358,1
Sawa Steak House,7401 Market St,"Youngstown, OH 44512",(330) 726-1888,1
Tony's,1702 E Main St,"Ottawa, OH 45875",(419) 890-4353,1
Kentucky Fried Chicken,38 N Cedar St,"Newark, OH 43055",(740) 719-2073,1
Ballville E-Z Shop Food & Beverage,1512 River St,"Fremont, OH 43420",(419) 332-7167,1
Dayton Fish Inc,3939 N Main St,"Dayton, OH 45405",(937) 276-3474,1
Center Pizza,23 Fayette Ctr,"Washington Court House, OH 43160",(740) 335-3944,1
Al-Mar Lanes,1010 North Main Street,"Bowling Green, OH 43402",(419) 419-3966,1
Giovanni's Pizza Otway,7056 State Route 73,"Otway, OH 45657",(740) 372-7700,1
DeFelice Bros Pizza,3788 Central Ave,"Shadyside, OH 43947",(740) 298-7154,1
Raymond House Fine Dining & Camping,20215 State Route 347,"Raymond, OH 43067",(937) 707-6188,1
Eaglesticks Golf Club,2655 Maysville Pike,"Zanesville, OH 43701",(740) 586-0854,1
Sunrise Cafe,259 Xenia Ave,"Yellow Springs, OH 45387",(326) 900-2032,1
Disalvo Deli & Italian Store,1383 E. Stroop Rd.,"Dayton, OH 45429",(937) 791-6597,1
The Brunch Pub,101 West Franklin Street,"Dayton, OH 45459",(326) 212-4685,1
Bay Food Market,301 S Maple St,"Lancaster, OH 43130",(740) 653-9606,1
Ding Ho Restaurant,120 Phillipi Road,"Columbus, OH 43228",(833) 254-5469,1
Baker's Pizza Sports Shack,224 N Sandusky Ave,"Bucyrus, OH 44820",(419) 834-9924,1
Dontino's Italian Restaurant,555 E Cuyahoga Falls Ave,"Akron, OH 44310",(330) 752-8892,1
Peppe & Luigi's Pizza,240 5th St SE Ste 2,"Barberton, OH 44203",(330) 745-1121,1
Leaning Tower Of Pizza & Submarine Carry Out,180 Lexington Ave,"Mansfield, OH 44907",(419) 525-3462,1
Old 30 BBQ,1330 E Mansfield St,"Bucyrus, OH 44820",(419) 834-9678,1
Dutch Kitchen,14278 Lincoln Way E,"Dalton, OH 44618",(330) 683-0530,1
Toft Dairy,3717 Venice Rd,"Sandusky, OH 44870",(419) 359-8118,1
Yummy Treats Inc,5445 Angola Rd,"Toledo, OH 43615",(419) 868-6533,1
Freeze Dari,1431 Chestnut St,"Coshocton, OH 43812",(740) 622-4827,1
Pat's Donuts & Kreme,2102 Elida Rd,"Lima, OH 45805",(567) 226-4641,1
Mary Yoder's Amish Kitchen Bakery & Collectible Gifts,14743 N State Ave,"Middlefield, OH 44062",(440) 632-1939,1
Jack's Deli & Restaurant,14490 Cedar Rd,"Cleveland, OH 44121",(216) 307-4745,1
Gran Fiesta Mexican Restaurant,18737 Royalton Rd,"Strongsville, OH 44136",(440) 638-1114,1
Montage Cafe,527 S Broadway St,"Greenville, OH 45331",(937) 569-0294,1
AV Lake Construction,3427 Venice Rd,"Sandusky, OH 44870",(419) 626-1586,1
Raisin Rack Natural Food Market,2545 W Schrock Rd,"Westerville, OH 43081",(614) 882-5886,1
Amie's Pizza Factory,6710 W Central Ave,"Toledo, OH 43617",(419) 842-8008,2
Devitis Italian Market,560 E Tallmadge Ave,"Akron, OH 44310",(330) 535-2626,1
Athens Pizzeria,8801 Denison Ave,"Cleveland, OH 44102",(216) 961-6176,1
Grillin Daves-Style,1612 Linden Ave,"Zanesville, OH 43701",(740) 452-3808,1
Jac & Do's Pizza,1201 Trenton Ave,"Findlay, OH 45840",(419) 422-5778,1
The Dock,250 W Main St,"Enon, OH 45323",(937) 340-0318,1
Don Ramon Mexican Restaurant,30610 Detroit Rd,"Westlake, OH 44145",(440) 359-8133,1
New Manhattan The,7262 Hubbard Masury Rd,"Hubbard, OH 44425",(330) 534-7890,1
Don Ramon Mexican Restaurant,6278 Pearl Rd,"Cleveland, OH 44130",(440) 886-0566,1
Rollz Rice,,"Lewis Center, OH 43035",(440) 865-3467,0
Spread Eagle Tavern & Inn,10150 Plymouth St,"Hanoverton, OH 44423",(330) 223-1583,1
Hasty Tasty Pancake House,3509 Linden Ave,"Dayton, OH 45410",(937) 254-8431,1
Covered Bridge Pizza Parlor And Eatery,6541 S. Main St.,"Ashtabula, OH 44004",(440) 795-5051,1
Molyet's Farm Market & Garden Center,555 W Market St,"Tiffin, OH 44883",(419) 447-9988,1
Hunan  Garden,1516 Coshocton Ave,"Mount Vernon, OH 43050",(740) 393-1313,1
South Erie Pizza,914 Erie St S,"Massillon, OH 44646",(330) 837-9797,1
The Desert Inn,204 12th St NW,"Canton, OH 44703",(330) 456-1766,1
J Pistone Market & Gathering Place,3245 Warrensville Center Rd,"Shaker Heights, OH 44122",(216) 283-3663,1
Mark Pi's China Gate,2502 Maple Ave,"Zanesville, OH 43701",(740) 453-6655,1
Smitty's Pizza,500 Front St,"Marietta, OH 45750",(740) 374-2280,1
Mark & Philly's,3156 Bailey Rd,"Cuyahoga Falls, OH 44221",(330) 920-1675,1
Gentile's Bakery - Deli - Catering,5626 Broadview Rd,"Cleveland, OH 44134",(216) 351-1161,1
Noday's Pizza & Deli,5229 Mahoning Ave,"Youngstown, OH 44515",(330) 792-5822,1
Cappy's Pizza,225 Lafayette St,"London, OH 43140",(740) 852-3984,1
Helmat Haus Party House & Picnic Grounds,4555 Jackson Pike,"Grove City, OH 43123",(614) 875-6005,1
Ron's Pizza,506 Coshocton Ave,"Mount Vernon, OH 43050",(740) 392-2031,1
Tat Ristorante Di Famiglia,1210 S James Rd,"Columbus, OH 43227",(614) 236-1392,1
Dusty's Landing,4760 Dustys Rd,"Akron, OH 44319",(330) 644-3250,1
Picnic Pizza Col. Sq. Mall,3575 Maple Ave,"Zanesville, OH 43701",(740) 452-8451,1
Milano Monuments,14600 Brookpark Rd,"Cleveland, OH 44135",(216) 362-1199,1
Hu Nan Chinese Restaurant,106 N 4th St,"Steubenville, OH 43952",(740) 282-8952,1
Kahoots,4522 Kenny Rd,"Columbus, OH 43220",(614) 451-7464,1
Meritech,4577 Hinckley Industrial Pkwy,"Cleveland, OH 44109",(216) 459-8333,1
Luke's Bar & Grill,133 N Main St,"Bluffton, OH 45817",(419) 358-4486,1
Georgio's Oven Fresh Pizza,3888 W 130th St,"Cleveland, OH 44111",(216) 671-3800,1
Scarsella's Restaurant,4151 Market St,"Youngstown, OH 44512",(330) 788-0806,1
Mama Catena Ristorante,711 Babbitt Rd,"Euclid, OH 44123",(216) 261-1168,1
Mike & Rosy's Deli,330 W Mccreight Ave,"Springfield, OH 45504",(937) 390-3511,1
Little Caesars,446 Pike St,"Marietta, OH 45750",(740) 374-8151,1
St  Augustine Health Campus,7801 Detroit Ave,"Cleveland, OH 44102",(440) 888-7722,1
Riesbeck's Pharmacy,104 Plaza Dr,"Saint Clairsville, OH 43950",(740) 695-0274,1
Pizza House East,604 Scott St,"Sandusky, OH 44870",(419) 626-4222,1
Tea Tree Asian Bistro,4100 Chappel Dr,"Perrysburg, OH 43551",(419) 874-8828,1
Waterloo Restaurant & Catering,423 E Waterloo Rd,"Akron, OH 44319",(330) 773-5158,1
Frank's Place On Market,549 W Market St,"Akron, OH 44303",(330) 376-8307,1
Little Caesars,50813 Valley Plaza Dr,"Saint Clairsville, OH 43950",(740) 695-1858,1
Fat Jack's Pizza,2340 Spencerville Rd,"Lima, OH 45805",(419) 229-2002,1
